pickup_hour,cluster,ride_count,zone_name,hour,day,day_of_week,month,is_weekend,pickup_latitude,pickup_longitude,is_rush_hour,is_night,office_hours
2016-01-01 00:00:00,0,54,Zone A,0,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 00:00:00,1,304,Zone B,0,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 00:00:00,2,3,Zone C,0,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 00:00:00,3,6,Zone D,0,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 00:00:00,4,78,Zone E,0,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 00:00:00,5,101,Zone F,0,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 01:00:00,0,77,Zone A,1,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 01:00:00,1,275,Zone B,1,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 01:00:00,2,1,Zone C,1,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 01:00:00,3,10,Zone D,1,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 01:00:00,4,83,Zone E,1,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 01:00:00,5,120,Zone F,1,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 02:00:00,0,59,Zone A,2,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 02:00:00,1,257,Zone B,2,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 02:00:00,2,4,Zone C,2,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 02:00:00,3,16,Zone D,2,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 02:00:00,4,65,Zone E,2,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 02:00:00,5,102,Zone F,2,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 03:00:00,0,61,Zone A,3,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 03:00:00,1,292,Zone B,3,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 03:00:00,2,0,Zone C,3,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 03:00:00,3,15,Zone D,3,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 03:00:00,4,49,Zone E,3,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 03:00:00,5,62,Zone F,3,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 04:00:00,0,44,Zone A,4,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 04:00:00,1,201,Zone B,4,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 04:00:00,2,2,Zone C,4,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 04:00:00,3,10,Zone D,4,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 04:00:00,4,27,Zone E,4,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 04:00:00,5,39,Zone F,4,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 05:00:00,0,13,Zone A,5,1,4,1,0,40.72047015415972,-74.02307320189729,0,1,0
2016-01-01 05:00:00,1,73,Zone B,5,1,4,1,0,40.74919202667747,-73.9857301141508,0,1,0
2016-01-01 05:00:00,2,6,Zone C,5,1,4,1,0,40.648292373561276,-73.78238234130092,0,1,0
2016-01-01 05:00:00,3,11,Zone D,5,1,4,1,0,40.76935448876038,-73.87250404561904,0,1,0
2016-01-01 05:00:00,4,19,Zone E,5,1,4,1,0,40.79024333586137,-73.96842586904239,0,1,0
2016-01-01 05:00:00,5,20,Zone F,5,1,4,1,0,40.76983302974993,-73.95761303553479,0,1,0
2016-01-01 06:00:00,0,10,Zone A,6,1,4,1,0,40.72047015415972,-74.02307320189729,0,0,0
2016-01-01 06:00:00,1,75,Zone B,6,1,4,1,0,40.74919202667747,-73.9857301141508,0,0,0
2016-01-01 06:00:00,2,6,Zone C,6,1,4,1,0,40.648292373561276,-73.78238234130092,0,0,0
2016-01-01 06:00:00,3,2,Zone D,6,1,4,1,0,40.76935448876038,-73.87250404561904,0,0,0
2016-01-01 06:00:00,4,19,Zone E,6,1,4,1,0,40.79024333586137,-73.96842586904239,0,0,0
2016-01-01 06:00:00,5,21,Zone F,6,1,4,1,0,40.76983302974993,-73.95761303553479,0,0,0
2016-01-01 07:00:00,0,13,Zone A,7,1,4,1,0,40.72047015415972,-74.02307320189729,1,0,0
2016-01-01 07:00:00,1,55,Zone B,7,1,4,1,0,40.74919202667747,-73.9857301141508,1,0,0
2016-01-01 07:00:00,2,4,Zone C,7,1,4,1,0,40.648292373561276,-73.78238234130092,1,0,0
2016-01-01 07:00:00,3,7,Zone D,7,1,4,1,0,40.76935448876038,-73.87250404561904,1,0,0
2016-01-01 07:00:00,4,15,Zone E,7,1,4,1,0,40.79024333586137,-73.96842586904239,1,0,0
2016-01-01 07:00:00,5,19,Zone F,7,1,4,1,0,40.76983302974993,-73.95761303553479,1,0,0
2016-01-01 08:00:00,0,17,Zone A,8,1,4,1,0,40.72047015415972,-74.02307320189729,1,0,0
2016-01-01 08:00:00,1,51,Zone B,8,1,4,1,0,40.74919202667747,-73.9857301141508,1,0,0
2016-01-01 08:00:00,2,6,Zone C,8,1,4,1,0,40.648292373561276,-73.78238234130092,1,0,0
2016-01-01 08:00:00,3,6,Zone D,8,1,4,1,0,40.76935448876038,-73.87250404561904,1,0,0
2016-01-01 08:00:00,4,16,Zone E,8,1,4,1,0,40.79024333586137,-73.96842586904239,1,0,0
2016-01-01 08:00:00,5,28,Zone F,8,1,4,1,0,40.76983302974993,-73.95761303553479,1,0,0
2016-01-01 09:00:00,0,11,Zone A,9,1,4,1,0,40.72047015415972,-74.02307320189729,1,0,1
2016-01-01 09:00:00,1,60,Zone B,9,1,4,1,0,40.74919202667747,-73.9857301141508,1,0,1
2016-01-01 09:00:00,2,1,Zone C,9,1,4,1,0,40.648292373561276,-73.78238234130092,1,0,1
2016-01-01 09:00:00,3,8,Zone D,9,1,4,1,0,40.76935448876038,-73.87250404561904,1,0,1
2016-01-01 09:00:00,4,12,Zone E,9,1,4,1,0,40.79024333586137,-73.96842586904239,1,0,1
2016-01-01 09:00:00,5,22,Zone F,9,1,4,1,0,40.76983302974993,-73.95761303553479,1,0,1
2016-01-01 10:00:00,0,14,Zone A,10,1,4,1,0,40.72047015415972,-74.02307320189729,0,0,1
2016-01-01 10:00:00,1,101,Zone B,10,1,4,1,0,40.74919202667747,-73.9857301141508,0,0,1
2016-01-01 10:00:00,2,8,Zone C,10,1,4,1,0,40.648292373561276,-73.78238234130092,0,0,1
2016-01-01 10:00:00,3,5,Zone D,10,1,4,1,0,40.76935448876038,-73.87250404561904,0,0,1
2016-01-01 10:00:00,4,26,Zone E,10,1,4,1,0,40.79024333586137,-73.96842586904239,0,0,1
2016-01-01 10:00:00,5,37,Zone F,10,1,4,1,0,40.76983302974993,-73.95761303553479,0,0,1
2016-01-01 11:00:00,0,26,Zone A,11,1,4,1,0,40.72047015415972,-74.02307320189729,0,0,1
2016-01-01 11:00:00,1,138,Zone B,11,1,4,1,0,40.74919202667747,-73.9857301141508,0,0,1
2016-01-01 11:00:00,2,5,Zone C,11,1,4,1,0,40.648292373561276,-73.78238234130092,0,0,1
2016-01-01 11:00:00,3,8,Zone D,11,1,4,1,0,40.76935448876038,-73.87250404561904,0,0,1
2016-01-01 11:00:00,4,22,Zone E,11,1,4,1,0,40.79024333586137,-73.96842586904239,0,0,1
2016-01-01 11:00:00,5,52,Zone F,11,1,4,1,0,40.76983302974993,-73.95761303553479,0,0,1
2016-01-01 12:00:00,0,41,Zone A,12,1,4,1,0,40.72047015415972,-74.02307320189729,0,0,1
2016-01-01 12:00:00,1,153,Zone B,12,1,4,1,0,40.74919202667747,-73.9857301141508,0,0,1
2016-01-01 12:00:00,2,9,Zone C,12,1,4,1,0,40.648292373561276,-73.78238234130092,0,0,1
2016-01-01 12:00:00,3,6,Zone D,12,1,4,1,0,40.76935448876038,-73.87250404561904,0,0,1
2016-01-01 12:00:00,4,37,Zone E,12,1,4,1,0,40.79024333586137,-73.96842586904239,0,0,1
2016-01-01 12:00:00,5,54,Zone F,12,1,4,1,0,40.76983302974993,-73.95761303553479,0,0,1
2016-01-01 13:00:00,0,48,Zone A,13,1,4,1,0,40.72047015415972,-74.02307320189729,0,0,1
2016-01-01 13:00:00,1,167,Zone B,13,1,4,1,0,40.74919202667747,-73.9857301141508,0,0,1
2016-01-01 13:00:00,2,6,Zone C,13,1,4,1,0,40.648292373561276,-73.78238234130092,0,0,1
2016-01-01 13:00:00,3,10,Zone D,13,1,4,1,0,40.76935448876038,-73.87250404561904,0,0,1
2016-01-01 13:00:00,4,50,Zone E,13,1,4,1,0,40.79024333586137,-73.96842586904239,0,0,1
